Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -51.041   -51.045
5.07273    -50.833   -51.088
5.14651    -50.564   -51.139
5.22137    -50.206   -51.196
5.29732    -49.813   -51.237
5.37437    -49.380   -51.277
5.45254    -48.948   -51.308
5.53185    -48.516   -51.337
5.61231    -48.084   -51.367
5.69394    -47.651   -51.396
5.77676    -47.219   -51.424
5.86079    -46.787   -51.453
5.94604    -46.355   -51.482
6.03252    -45.922   -51.510
6.12027    -45.490   -51.539
6.20929    -45.058   -51.567
6.29961    -44.625   -51.596
6.39124    -44.193   -51.625
6.48420    -43.761   -51.654
6.57851    -43.329   -51.683
6.67420    -42.896   -51.712
6.77128    -42.464   -51.741
6.86977    -42.032   -51.770
6.96969    -41.600   -51.799
7.07107    -41.167   -51.829
7.17392    -40.735   -51.859
7.27827    -40.303   -51.890
7.38413    -39.870   -51.920
7.49154    -39.438   -51.951
7.60050    -39.006   -51.981
7.71105    -38.574   -52.012
7.82321    -38.141   -52.043
7.93701    -37.709   -52.075
8.05245    -37.277   -52.107
8.16958    -36.845   -52.139
8.28841    -36.412   -52.172
8.40896    -35.980   -52.205
8.53128    -35.548   -52.238
8.65537    -35.116   -52.272
8.78126    -34.683   -52.306
8.90899    -34.251   -52.340
9.03857    -33.819   -52.375
9.17004    -33.386   -52.410
9.30342    -32.954   -52.446
9.43874    -32.522   -52.481
9.57603    -32.090   -52.518
9.71532    -31.657   -52.554
9.85663    -31.225   -52.591
10.0000    -30.793   -52.629
10.1455    -30.361   -52.666
10.2930    -29.928   -52.705
10.4427    -29.496   -52.744
10.5946    -29.064   -52.783
10.7487    -28.631   -52.823
10.9051    -28.199   -52.863
11.0637    -27.767   -52.904
11.2246    -27.335   -52.945
11.3879    -26.902   -52.986
11.5535    -26.470   -53.028
11.7216    -26.038   -53.071
11.8921    -25.606   -53.114
12.0650    -25.173   -53.158
12.2405    -24.741   -53.203
12.4186    -24.309   -53.248
12.5992    -23.877   -53.293
12.7825    -23.444   -53.339
12.9684    -23.012   -53.386
13.1570    -22.580   -53.433
13.3484    -22.147   -53.481
13.5426    -21.715   -53.529
