Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      5.537     0.416
5.07273      5.537     0.419
5.14651      5.537     0.423
5.22137      5.537     0.428
5.29732      5.538     0.433
5.37437      5.538     0.439
5.45254      5.538     0.445
5.53185      5.538     0.452
5.61231      5.538     0.458
5.69394      5.538     0.465
5.77676      5.538     0.471
5.86079      5.538     0.478
5.94604      5.538     0.485
6.03252      5.538     0.492
6.12027      5.538     0.499
6.20929      5.538     0.506
6.29961      5.538     0.513
6.39124      5.538     0.520
6.48420      5.538     0.528
6.57851      5.538     0.535
6.67420      5.538     0.543
6.77128      5.538     0.551
6.86977      5.538     0.558
6.96969      5.538     0.566
7.07107      5.538     0.575
7.17392      5.538     0.583
7.27827      5.538     0.591
7.38413      5.538     0.600
7.49154      5.538     0.608
7.60050      5.538     0.617
7.71105      5.538     0.626
7.82321      5.538     0.635
7.93701      5.538     0.644
8.05245      5.538     0.653
8.16958      5.538     0.662
8.28841      5.538     0.672
8.40896      5.538     0.682
8.53128      5.538     0.691
8.65537      5.538     0.701
8.78126      5.538     0.711
8.90899      5.538     0.721
9.03857      5.538     0.732
9.17004      5.538     0.742
9.30342      5.538     0.753
9.43874      5.538     0.764
9.57603      5.539     0.775
9.71532      5.539     0.786
9.85663      5.539     0.797
10.0000      5.539     0.809
10.1455      5.539     0.820
10.2930      5.539     0.832
10.4427      5.539     0.844
10.5946      5.539     0.856
10.7487      5.539     0.869
10.9051      5.539     0.881
11.0637      5.539     0.894
11.2246      5.539     0.907
11.3879      5.539     0.920
11.5535      5.539     0.933
11.7216      5.539     0.946
11.8921      5.539     0.960
12.0650      5.539     0.974
12.2405      5.539     0.988
12.4186      5.539     1.002
12.5992      5.539     1.016
12.7825      5.540     1.031
12.9684      5.540     1.046
13.1570      5.540     1.061
13.3484      5.540     1.076
13.5426      5.540     1.092
13.7395      5.540     1.107
13.9394      5.540     1.123
14.1421      5.540     1.139
14.3478      5.540     1.156
14.5565      5.540     1.172
14.7683      5.540     1.189
14.9831      5.540     1.206
15.2010      5.540     1.224
15.4221      5.541     1.242
15.6464      5.541     1.259
15.8740      5.541     1.278
16.1049      5.541     1.296
16.3392      5.541     1.315
