Freq[Hz]     dBSPL  Phase[Deg]
5.00000      6.176   -69.010
5.07273      6.379   -69.128
5.14651      6.642   -69.279
5.22137      6.992   -69.471
5.29732      7.377   -69.664
5.37437      7.799   -69.873
5.45254      8.222   -70.077
5.53185      8.645   -70.282
5.61231      9.068   -70.489
5.69394      9.490   -70.698
5.77676      9.913   -70.910
5.86079     10.336   -71.125
5.94604     10.759   -71.342
6.03252     11.182   -71.562
6.12027     11.604   -71.785
6.20929     12.027   -72.011
6.29961     12.450   -72.240
6.39124     12.873   -72.472
6.48420     13.296   -72.708
6.57851     13.718   -72.946
6.67420     14.141   -73.188
6.77128     14.564   -73.433
6.86977     14.987   -73.681
6.96969     15.410   -73.933
7.07107     15.832   -74.188
7.17392     16.255   -74.448
7.27827     16.678   -74.711
7.38413     17.101   -74.978
7.49154     17.524   -75.248
7.60050     17.946   -75.522
7.71105     18.369   -75.800
7.82321     18.792   -76.083
7.93701     19.215   -76.369
8.05245     19.637   -76.660
8.16958     20.060   -76.955
8.28841     20.483   -77.255
8.40896     20.906   -77.558
8.53128     21.329   -77.867
8.65537     21.751   -78.180
8.78126     22.174   -78.497
8.90899     22.597   -78.820
9.03857     23.020   -79.147
9.17004     23.443   -79.479
9.30342     23.865   -79.816
9.43874     24.288   -80.158
9.57603     24.711   -80.506
9.71532     25.134   -80.858
9.85663     25.557   -81.216
10.0000     25.979   -81.580
10.1455     26.402   -81.949
10.2930     26.825   -82.324
10.4427     27.248   -82.705
10.5946     27.670   -83.091
10.7487     28.093   -83.484
10.9051     28.516   -83.883
11.0637     28.939   -84.288
11.2246     29.362   -84.699
11.3879     29.784   -85.117
11.5535     30.207   -85.541
11.7216     30.630   -85.973
11.8921     31.053   -86.411
12.0650     31.476   -86.857
12.2405     31.898   -87.309
12.4186     32.321   -87.769
12.5992     32.744   -88.236
12.7825     33.167   -88.711
12.9684     33.590   -89.194
13.1570     34.012   -89.685
13.3484     34.435   -90.184
13.5426     34.858   -90.691
13.7395     35.281   -91.207
13.9394     35.704   -91.732
14.1421     36.126   -92.265
14.3478     36.549   -92.808
14.5565     36.972   -93.360
14.7683     37.395   -93.922
14.9831     37.817   -94.494
15.2010     38.240   -95.076
15.4221     38.663   -95.669
15.6464     39.086   -96.273
15.8740     39.509   -96.887
16.1049     39.931   -97.512
16.3392     40.354   -98.150
16.5768     40.777   -98.799
16.8179     41.200   -99.461
17.0626     41.623  -100.135
17.3107     42.045  -100.823
17.5625     42.468  -101.525
17.8180     42.891  -102.241
18.0771     43.314  -102.972
18.3401     43.737  -103.718
18.6068     44.159  -104.480
18.8775     44.582  -105.260
19.1521     45.005  -106.057
19.4306     45.428  -106.873
19.7133     45.851  -107.709
20.0000     46.273  -108.568
20.2909     46.696  -109.449
20.5860     47.119  -110.356
20.8855     47.542  -111.293
21.1893     47.964  -112.262
21.4975     48.387  -113.271
21.8102     48.810  -114.335
22.1274     49.229  -115.469
22.4492     49.637  -116.680
22.7758     50.025  -117.944
23.1071     50.385  -119.189
23.4432     50.729  -120.339
23.7841     51.064  -121.349
24.1301     51.407  -122.200
24.4811     51.775  -122.942
24.8372     52.167  -123.653
25.1984     52.581  -124.395
25.5649     53.015  -125.213
25.9368     53.463  -126.133
26.3141     53.924  -127.192
26.6968     54.386  -128.410
27.0851     54.848  -129.795
27.4791     55.298  -131.355
27.8788     55.728  -133.061
28.2843     56.136  -134.874
28.6957     56.516  -136.738
29.1131     56.880  -138.633
29.5365     57.221  -140.555
29.9661     57.533  -142.434
30.4020     57.837  -144.246
30.8442     58.133  -146.024
31.2929     58.419  -147.767
31.7480     58.696  -149.478
32.2098     58.964  -151.164
32.6783     59.220  -152.803
33.1536     59.476  -154.397
33.6359     59.727  -155.973
34.1251     59.968  -157.519
34.6215     60.208  -159.048
35.1250     60.434  -160.564
35.6359     60.648  -162.025
36.1543     60.860  -163.423
36.6802     61.064  -164.765
37.2137     61.266  -166.054
37.7550     61.460  -167.287
38.3041     61.646  -168.421
38.8613     61.836  -169.441
39.4265     62.041  -170.383
40.0000     62.261  -171.300
40.5818     62.492  -172.244
41.1721     62.725  -173.250
41.7710     62.947  -174.301
42.3785     63.153  -175.347
42.9949     63.345  -176.333
43.6203     63.526  -177.201
44.2548     63.711  -177.926
44.8985     63.908  -178.519
45.5515     64.129  -179.034
46.2141     64.371  -179.533
46.8863     64.629   179.951
47.5683     64.899   179.396
48.2602     65.174   178.812
48.9621     65.463   178.214
49.6743     65.767   177.582
50.3968     66.093   176.858
51.1299     66.429   175.978
51.8736     66.761   174.927
52.6281     67.077   173.733
53.3936     67.373   172.446
54.1702     67.646   171.134
54.9581     67.907   169.841
55.7575     68.160   168.570
56.5685     68.402   167.335
57.3914     68.644   166.140
58.2261     68.886   164.967
59.0730     69.129   163.811
59.9323     69.380   162.642
60.8040     69.631   161.424
61.6884     69.876   160.150
62.5857     70.106   158.848
63.4960     70.323   157.567
64.4196     70.533   156.342
65.3566     70.744   155.181
66.3073     70.965   154.054
67.2717     71.195   152.915
68.2502     71.430   151.721
69.2429     71.660   150.467
70.2501     71.883   149.181
71.2719     72.104   147.867
72.3086     72.316   146.532
73.3603     72.523   145.186
74.4274     72.724   143.827
75.5099     72.916   142.471
76.6083     73.102   141.143
77.7226     73.293   139.838
78.8531     73.493   138.502
80.0000     73.695   137.086
81.1636     73.892   135.565
82.3442     74.073   133.940
83.5419     74.232   132.246
84.7570     74.379   130.490
85.9899     74.507   128.617
87.2406     74.601   126.568
88.5096     74.617   124.383
89.7970     74.501   122.361
91.1031     74.234   121.106
92.4282     73.897   121.169
93.7726     73.595   122.932
95.1366     73.636   125.921
96.5204     74.070   128.734
97.9243     74.693   130.495
99.3486     75.408   130.705
100.794     76.030   129.166
102.260     76.425   126.729
103.747     76.688   124.264
105.256     76.868   122.064
106.787     77.017   120.207
108.340     77.157   118.596
109.916     77.297   117.147
111.515     77.437   115.815
113.137     77.587   114.561
114.783     77.750   113.313
116.452     77.913   112.026
118.146     78.073   110.688
119.865     78.219   109.318
121.608     78.354   107.956
123.377     78.480   106.609
125.171     78.591   105.303
126.992     78.697   104.069
128.839     78.803   102.893
130.713     78.909   101.773
132.615     79.023   100.689
134.543     79.144    99.601
136.500     79.266    98.496
138.486     79.392    97.357
140.500     79.512    96.174
142.544     79.621    94.978
144.617     79.725    93.789
146.721     79.824    92.606
148.855     79.914    91.444
151.020     80.003    90.309
153.217     80.089    89.193
155.445     80.172    88.092
157.706     80.253    86.998
160.000     80.326    85.927
162.327     80.396    84.897
164.688     80.466    83.906
167.084     80.537    82.953
169.514     80.612    82.023
171.980     80.692    81.097
174.481     80.774    80.161
177.019     80.854    79.224
179.594     80.942    78.274
182.206     81.033    77.259
184.856     81.111    76.189
187.545     81.179    75.094
190.273     81.228    74.006
193.041     81.258    73.004
195.849     81.286    72.136
198.697     81.333    71.349
201.587     81.398    70.539
204.520     81.462    69.669
207.494     81.526    68.733
210.512     81.571    67.745
213.574     81.589    66.810
216.681     81.598    65.999
219.833     81.609    65.320
223.030     81.633    64.750
226.274     81.683    64.206
229.565     81.748    63.602
232.905     81.812    62.927
236.292     81.873    62.192
239.729     81.918    61.438
243.216     81.950    60.747
246.754     81.988    60.133
250.343     82.035    59.556
253.984     82.096    58.972
257.678     82.163    58.336
261.426     82.229    57.643
265.229     82.291    56.897
269.087     82.343    56.114
273.001     82.382    55.332
276.972     82.412    54.577
281.000     82.431    53.875
285.088     82.445    53.261
289.234     82.465    52.729
293.441     82.497    52.241
297.709     82.537    51.765
302.040     82.588    51.271
306.433     82.643    50.730
310.890     82.693    50.157
315.412     82.739    49.585
320.000     82.786    49.016
324.655     82.829    48.457
329.377     82.874    47.923
334.168     82.925    47.414
339.028     82.993    46.876
343.959     83.067    46.249
348.962     83.136    45.532
354.038     83.201    44.727
359.188     83.247    43.846
364.412     83.268    42.967
369.713     83.277    42.144
375.090     83.277    41.382
380.546     83.277    40.669
386.081     83.277    39.976
391.697     83.272    39.290
397.394     83.260    38.608
403.175     83.235    37.952
409.039     83.198    37.361
414.989     83.154    36.852
421.025     83.098    36.456
427.149     83.046    36.196
433.362     83.005    36.037
439.665     82.972    35.953
446.060     82.952    35.927
452.548     82.944    35.927
459.131     82.941    35.948
465.809     82.943    36.009
472.584     82.952    36.128
479.458     82.974    36.309
486.432     83.020    36.514
493.507     83.087    36.687
500.686     83.171    36.797
507.968     83.268    36.813
515.357     83.369    36.733
522.853     83.472    36.571
530.458     83.576    36.331
538.174     83.679    36.018
546.002     83.780    35.628
553.943     83.873    35.166
562.001     83.958    34.653
570.175     84.031    34.114
578.469     84.098    33.565
586.883     84.159    32.996
595.419     84.205    32.433
604.080     84.246    31.903
612.866     84.281    31.411
621.780     84.314    30.965
630.824     84.351    30.551
640.000     84.388    30.161
649.309     84.429    29.789
658.753     84.475    29.416
668.335     84.522    29.035
678.056     84.569    28.665
687.919     84.625    28.287
697.925     84.685    27.864
708.077     84.737    27.426
718.376     84.797    26.970
728.825     84.856    26.468
739.426     84.909    25.945
750.181     84.968    25.386
761.093     85.021    24.763
772.163     85.062    24.106
783.394     85.095    23.431
794.789     85.115    22.751
806.349     85.123    22.100
818.078     85.124    21.485
829.977     85.118    20.906
842.050     85.103    20.377
854.298     85.079    19.932
866.724     85.053    19.599
879.330     85.037    19.367
892.120     85.036    19.199
905.097     85.054    19.041
918.262     85.086    18.845
931.618     85.128    18.570
945.169     85.170    18.195
958.917     85.199    17.746
972.864     85.210    17.269
987.015     85.197    16.840
1001.37     85.169    16.536
1015.94     85.140    16.381
1030.71     85.116    16.381
1045.71     85.112    16.518
1060.92     85.133    16.740
1076.35     85.181    17.018
1092.00     85.271    17.289
1107.89     85.401    17.439
1124.00     85.560    17.373
1140.35     85.733    17.013
1156.94     85.887    16.360
1173.77     86.004    15.530
1190.84     86.089    14.635
1208.16     86.146    13.745
1225.73     86.184    12.896
1243.56     86.198    12.139
1261.65     86.203    11.519
1280.00     86.210    11.045
1298.62     86.229    10.718
1317.51     86.284    10.472
1336.67     86.377    10.175
1356.11     86.500     9.715
1375.84     86.634     9.033
1395.85     86.763     8.131
1416.15     86.882     7.020
1436.75     86.976     5.734
1457.65     87.043     4.326
1478.85     87.081     2.834
1500.36     87.082     1.320
1522.19     87.059    -0.164
1544.33     87.018    -1.638
1566.79     86.953    -3.122
1589.58     86.855    -4.594
1612.70     86.710    -5.962
1636.16     86.524    -7.115
1659.95     86.306    -7.950
1684.10     86.078    -8.400
1708.60     85.879    -8.519
1733.45     85.716    -8.433
1758.66     85.592    -8.251
1784.24     85.499    -8.063
1810.19     85.421    -7.897
1836.52     85.352    -7.739
1863.24     85.284    -7.553
1890.34     85.224    -7.307
1917.83     85.178    -7.003
1945.73     85.147    -6.651
1974.03     85.136    -6.268
2002.74     85.143    -5.869
2031.87     85.176    -5.472
2061.43     85.238    -5.135
2091.41     85.324    -4.921
2121.83     85.424    -4.871
2152.69     85.521    -4.971
2184.01     85.614    -5.179
2215.77     85.698    -5.448
2248.00     85.783    -5.731
2280.70     85.887    -6.070
2313.87     86.003    -6.550
2347.53     86.118    -7.204
2381.68     86.226    -8.050
2416.32     86.308    -9.068
2451.46     86.350   -10.154
2487.12     86.361   -11.199
2523.30     86.353   -12.160
2560.00     86.331   -13.004
2597.24     86.316   -13.738
2635.01     86.313   -14.432
2673.34     86.322   -15.148
2712.23     86.340   -15.953
2751.68     86.350   -16.878
2791.70     86.335   -17.876
2832.31     86.291   -18.860
2873.50     86.219   -19.733
2915.30     86.133   -20.421
2957.70     86.057   -20.931
3000.72     86.005   -21.332
3044.37     85.978   -21.718
3088.65     85.969   -22.157
3133.58     85.966   -22.670
3179.16     85.966   -23.248
3225.40     85.966   -23.884
3272.31     85.966   -24.575
3319.91     85.966   -25.331
3368.20     85.963   -26.167
3417.19     85.952   -27.098
3466.89     85.922   -28.110
3517.32     85.861   -29.138
3568.48     85.771   -30.094
3620.39     85.656   -30.890
3673.05     85.536   -31.473
3726.47     85.434   -31.875
3780.67     85.360   -32.182
3835.67     85.317   -32.492
3891.46     85.300   -32.898
3948.06     85.291   -33.436
4005.49     85.285   -34.111
4063.75     85.271   -34.913
4122.86     85.253   -35.844
4182.82     85.222   -36.954
4243.66     85.146   -38.192
4305.39     85.019   -39.417
4368.01     84.843   -40.503
4431.55     84.617   -41.297
4496.01     84.377   -41.699
4561.40     84.152   -41.731
4627.75     83.969   -41.490
4695.06     83.839   -41.120
4763.35     83.759   -40.771
4832.64     83.714   -40.554
4902.93     83.682   -40.506
4974.24     83.648   -40.620
5046.60     83.588   -40.825
5120.00     83.496   -40.975
5194.47     83.389   -40.957
5270.03     83.275   -40.698
5346.68     83.186   -40.175
5424.45     83.150   -39.480
5503.35     83.173   -38.748
5583.40     83.262   -38.131
5664.61     83.404   -37.796
5747.01     83.564   -37.827
5830.60     83.714   -38.183
5915.41     83.842   -38.764
6001.45     83.955   -39.494
6088.74     84.053   -40.337
6177.30     84.139   -41.262
6267.15     84.226   -42.290
6358.31     84.307   -43.480
6450.80     84.365   -44.825
6544.62     84.404   -46.305
6639.82     84.416   -47.930
6736.40     84.384   -49.660
6834.38     84.296   -51.395
6933.79     84.146   -52.982
7034.64     83.950   -54.274
7136.96     83.722   -55.159
7240.77     83.502   -55.596
7346.09     83.329   -55.703
7452.94     83.210   -55.637
7561.35     83.148   -55.528
7671.33     83.139   -55.501
7782.91     83.170   -55.643
7896.12     83.238   -56.037
8010.97     83.324   -56.780
8127.49     83.403   -57.924
8245.71     83.440   -59.445
8365.65     83.395   -61.172
8487.33     83.263   -62.822
8610.78     83.064   -64.169
8736.03     82.825   -65.072
8863.09     82.593   -65.503
8992.01     82.406   -65.599
9122.80     82.268   -65.520
9255.50     82.183   -65.404
9390.12     82.133   -65.357
9526.70     82.103   -65.407
9665.27     82.080   -65.543
9805.86     82.050   -65.697
9948.49     82.020   -65.783
10093.2     82.000   -65.745
10240.0     82.006   -65.554
10388.9     82.070   -65.266
10540.1     82.201   -65.010
10693.4     82.407   -64.929
10848.9     82.688   -65.212
11006.7     83.018   -66.036
11166.8     83.367   -67.520
11329.2     83.687   -69.684
11494.0     83.943   -72.408
11661.2     84.123   -75.513
11830.8     84.226   -78.817
12002.9     84.266   -82.184
12177.5     84.264   -85.586
12354.6     84.225   -89.063
12534.3     84.137   -92.614
12716.6     83.997   -96.202
12901.6     83.803   -99.789
13089.2     83.548  -103.300
13279.6     83.248  -106.699
13472.8     82.899  -109.981
13668.8     82.494  -113.087
13867.6     82.034  -115.934
14069.3     81.521  -118.425
14273.9     80.968  -120.473
14481.5     80.394  -122.031
14692.2     79.825  -123.114
14905.9     79.280  -123.795
15122.7     78.772  -124.171
15342.7     78.306  -124.360
15565.8     77.867  -124.422
15792.2     77.446  -124.329
16021.9     77.042  -124.026
16255.0     76.679  -123.527
16491.4     76.370  -122.949
16731.3     76.118  -122.423
16974.7     75.916  -122.094
17221.6     75.727  -122.028
17472.1     75.511  -122.115
17726.2     75.262  -122.155
17984.0     74.993  -121.975
18245.6     74.742  -121.510
18511.0     74.549  -120.834
18780.2     74.444  -120.168
19053.4     74.431  -119.827
19330.5     74.453  -120.021
19611.7     74.461  -120.752
19897.0     74.420  -121.904
20186.4     74.300  -123.243
20480.0     74.113  -124.515
