Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      6.710    17.041
5.07273      6.714    17.112
5.14651      6.719    17.207
5.22137      6.726    17.336
5.29732      6.733    17.483
5.37437      6.742    17.648
5.45254      6.751    17.818
5.53185      6.760    17.992
5.61231      6.770    18.170
5.69394      6.780    18.351
5.77676      6.790    18.536
5.86079      6.800    18.725
5.94604      6.810    18.918
6.03252      6.821    19.114
6.12027      6.832    19.313
6.20929      6.844    19.516
6.29961      6.855    19.723
6.39124      6.867    19.933
6.48420      6.880    20.147
6.57851      6.892    20.365
6.67420      6.905    20.586
6.77128      6.919    20.811
6.86977      6.932    21.040
6.96969      6.946    21.272
7.07107      6.961    21.508
7.17392      6.976    21.749
7.27827      6.991    21.992
7.38413      7.006    22.240
7.49154      7.022    22.492
7.60050      7.039    22.748
7.71105      7.055    23.009
7.82321      7.073    23.273
7.93701      7.090    23.542
8.05245      7.109    23.815
8.16958      7.127    24.094
8.28841      7.146    24.376
8.40896      7.166    24.664
8.53128      7.186    24.958
8.65537      7.207    25.257
8.78126      7.228    25.561
8.90899      7.250    25.872
9.03857      7.272    26.190
9.17004      7.295    26.515
9.30342      7.319    26.849
9.43874      7.343    27.191
9.57603      7.368    27.545
9.71532      7.393    27.911
9.85663      7.419    28.293
10.0000      7.446    28.700
10.1455      7.475    29.138
10.2930      7.508    29.615
10.4427      7.552    30.114
10.5946      7.607    30.596
10.7487      7.670    31.043
10.9051      7.740    31.425
11.0637      7.807    31.748
11.2246      7.872    32.042
11.3879      7.934    32.313
11.5535      7.989    32.604
11.7216      8.054    32.910
11.8921      8.119    33.196
12.0650      8.187    33.471
12.2405      8.258    33.723
12.4186      8.325    33.959
12.5992      8.395    34.192
12.7825      8.465    34.417
12.9684      8.538    34.635
13.1570      8.617    34.820
13.3484      8.694    34.955
13.5426      8.764    35.057
13.7395      8.823    35.164
13.9394      8.877    35.308
14.1421      8.931    35.491
14.3478      8.987    35.710
14.5565      9.052    35.938
14.7683      9.119    36.152
14.9831      9.185    36.365
15.2010      9.252    36.580
15.4221      9.317    36.819
15.6464      9.393    37.075
15.8740      9.480    37.290
16.1049      9.562    37.462
16.3392      9.640    37.620
16.5768      9.716    37.765
16.8179      9.780    37.932
17.0626      9.848    38.144
17.3107      9.922    38.377
17.5625     10.000    38.617
17.8180     10.083    38.851
18.0771     10.162    39.102
18.3401     10.255    39.366
18.6068     10.357    39.603
18.8775     10.459    39.810
19.1521     10.570    39.974
19.4306     10.672    40.084
19.7133     10.761    40.187
20.0000     10.839    40.330
20.2909     10.916    40.534
20.5860     11.004    40.782
20.8855     11.095    41.061
21.1893     11.204    41.357
21.4975     11.326    41.622
21.8102     11.451    41.845
22.1274     11.576    42.041
22.4492     11.703    42.217
22.7758     11.826    42.378
23.1071     11.943    42.553
23.4432     12.063    42.760
23.7841     12.195    42.977
24.1301     12.333    43.186
24.4811     12.481    43.376
24.8372     12.630    43.531
25.1984     12.773    43.672
25.5649     12.913    43.825
25.9368     13.053    44.000
26.3141     13.197    44.206
26.6968     13.353    44.433
27.0851     13.520    44.661
